type,id,s3_key,filename,record_id
photo,3816,318dafb819fdebc50574ecba24e6aa3d9c0520f63c1d8c2ddc67b304ea01,DSC_0216.JPG,3358
photo,3817,7d260a38200ee0b9d868c4a9612780cf3e887c17acc793f61d3ff44f3c9f,DSC_0217.JPG,3358
